📍 See this list on Google Maps,,,,Donate to keep MALAN running! ,,,,,,,
,,,"This is not an exhaustive list. Info will be updated as we are able to. Please reach out to the organizers directly for clarifying questions. If you have additional resources, please add them to this MALAN Instagram post and we will add it to this list! https://www.instagram.com/p/DEjhEgiRE9y/",,,,,,,,
Echo Park,1/10 6:30 PM,Materials & Applications ,Donation Drives,"1313 W Sunset Blvd, Los Angeles, CA 90026",,Want to help? Email info@materialsandapplications.org,"k/n95 masks, medical supplies, saline nasal spray, individually-packed OTC meds, hygine products, blankets, pillows, hand warmers, water, non-perishable food, per food, zipties, tarps, tents, flashlights",,"Sat, 1/11 hours: 10-12pm, 1-4pm

DM to schedule dropoff at M&A storefront. ",instagram,
Boyle Heights,1/10 6:30 PM,Esquina Bicycle Shop,Donation Drives,"2228 Whittier Blvd, Los Angeles, CA 90026",,,"PLEASE NO MORE USED ITEMS OR CLOTHING. (Updated 1/9/25 10:48PM) 

PRIORITY collecting: shaving supplies, body wipes, diapers, hand disinfecting wipes, masks, non-perishable food first aid 

ALSO collecting: pet supplies, menstrual products",,"Sat 1/11, Sun 1/12, Mon 1/3 from 12-3pm

12-5pm Tuesday- Friday ",Instagram,
Los Angeles,1/10 5:13 PM,Au Lac Restaurant DTLA,Free Prepared Meals,,,,,"Organizations seeking meals, please reach out! 
(updated 01/09/25 5p)",Cooking meals for displaced folks. Looking to partner with orgs who can help coordinate meals getting to people who need them.,Instagram,
Lynwood,,Iphone Repair 310,Distribution Hub,"10820 Atlantic Ave Ste 105, Lynwood, CA 90262",,,"REALLY NEED: baby wipes, baby oil, wash for babies, baby formula, LOTS of shopping bags (Updated 1/9/25 at 8:43PM)
NEED:
shelf-stable food, water, and essentials for distribution to shelters",,"If you can't make it to them, DM to coordinate pickup",Instagram,
Marina del Rey,,Animal Wellness Foundation,Animal Boarding,Contact for address,Pets,,Funds,,"Former veterinary hospital offering shelter for evacuated animals. 
Email Annie at drannieawc@gmail.com. ",Website,
Miracle Mile,,Feed Play Love,Animal Boarding,"5850 W 3rd St, Los Angeles, CA 90036",Pets,,,animal boarding,Reach out to them directly if you need temporary boarding for your pets. 323-440-4915,Instagram,
Montebello,,Montebello Barnyard Zoo,Animal Boarding,"600 Rea Drive, Montebello, CA 906040",Horses/farm animals,,,animal boarding,call 213 718 5442 to ask about housing horses/farm animals,Instagram,
Montebello,,Montebello Armenian Center,"Shelter, Information","410 Washington Blvd, Montebello, CA 90640",,,,,Call Jack at 323-216-1239 for more info,,
Montrose,,Crescenta Valley Armenian Community Center,"Information, Shelter","2633 Honolulu Ave, Montrose, CA 91020",,,,,Call Lucy at 818-590-5580,Instagram,
Northridge,,Northridge Park,Shelter,"10120 Reseda Blvd
Northridge, CA 91324",,,"NOT ACCEPTING DONATIONS 
(updated 01/09/25 5:45p)",,,Assembly Member Pilar Schiavo,
Oxnard,,Paw Works,Animal Boarding,Oxnard,Small animals,,,,Email brittany@pawworks.org or DM @pawworks on Instagram,Instagram,
Pacoima,01/10 4:40 PM,Ritchie Valens Recreation Center,Shelter,"10736 Laurel Canyon Blvd, 
Pacoima, CA 91331, USA",,,,,Absorbed El Camino Real High School Emergency Evacuation Center ,Instagram,
Palmdale,,Milo's Sanctuary,Animal Boarding,"550 W. Rancho Vista Blvd Ste D #106
Palmdale, California 93551",Large and small animals,,,,DM @milos_sanctuary on Instagram,Instagram,
Panorama City,,Sepulveda Recreation Center,Shelter,"8825 Kester Ave
Panorama City, CA 91402",,,,,,Assembly Member Pilar Schiavo,
Pasadena,,Friends in Deed Bad Weather Shelter,Shelter,"Trinity Lutheran Church
997 East Walnut Street 
Pasadena, CA 91106",,,,,"01.07-01.10 
Adults only 
Back of the church
Maximum 59 guests",Instagram,
Pasadena,,Pasadena Convention Center,Shelter,"300 E. Green Street, 
Pasadena, CA 91101",Pets on leash and in carriers ,,"NO LONGER ACCEPTING DONATIONS
(updated 1/9 2:25pm)","Masks & Rapid tests
Humane Society on site to assist with animals",,City of Pasadena Instagram ,
Pasadena,1/9 1:54 PM,St Sarkis Armenian Church,Shelter,"58 S Sierra Madre Blvd, Pasadena, CA 91107",,,"NEED: water, blankets, and ESPECIALLY high-quality masks ",,Open 10am-4pm for drop-offs,,
Pasadena,,All Saints Church,Shelter,"132 N Euclid Avenue, Pasadena, CA 91101",,,,,,,
Pasadena,,My Pet Garden,Animal Boarding,"2245 East Colorado Blvd., Suite 106, Pasadena, CA, 91107",Cats and small/medium dogs,,NO LONGER NEED SUPPLIES (updated 1/9/25 at 2:26PM),pet boarding,"Call or text (626) 319-1238 to see if space is available
",,
Pasadena,,First Baptist Church,Shelter,"75 N Marengo Ave, Pasadena, CA 91101",,,,,,,
Pasadena,,Odyssey Games,"Free Items, Wifi/Charging",1795 E. Colorado Blvd. Passadena CA,,,,"snacks, water, electricity",Open 1/9/25 from 5:30-11:30PM; 1/10/25 and on: normal hours. Drinks and snacks free for evacuees. Updated 1/9/25 @ 1:37PM,Instagram,
Koreatown,1/10/25 at 3:36PM,Love Hour Los Angeles,"Free Items, Free Prepared Meals, Distribution Hub","532 S. Western Ave, Los Angeles, California 90020",,"Sorting, packing, etc. needs @ Love Hour on Sat (1/11) and Sun (1/12) 

Looking for on-call drivers who can help deliver supplies on Sat (1/11) and Sun (1/12). Fill out [THIS GOOGLE FORM] to sign up.","NEED: pillows, canes, walkers, water, canned food, pre-packaged soft food, sugar-free, low-sodium options, blankets, hygiene products, pillows, canes, walkers, pre-packaged soft foods, sugar-free options, low-sodium options

Clothing Donations at capacity","-water, food, clothing, blankets, diapers, supplies - Fri, 1/10 until 10PM
-free meals for firefighters, first responders, anyone affected
","DM @lovehourlosangeles 
open 5-10PM Jan 10th for picking up and dropping off.
donations/dropoffs Jan 10th-12th. will distro Jan 11th-12th.
",Instagram,
Pasadena,,Bike Oven,Distribution Hub,"3706 N Figueroa
Los Angeles, CA 90065",,Prep and distribute food 7am-3pm Friday 10/10 (updated 10/10 6:48am),"Basic hygiene and toiletries, N95 masks or respirators, pet food, power banks, batteries, blankets, sleeping bags. 
Push carts ",,"7am-9pm Friday 10/10
Drop off location for supplies for those dealing with Eaton Fire",Instagram,
Pasadena,,Cresecenta Valley UMC,Wifi/Charging,"2700 Montrose Ave, La Crescenta-Montrose 91020",,,,power available for charging devices,"We have power available for charging devices.If you need help, please reach out to Janice or Pastor Kevin.213-290-3722",Instagram,
Pasadena,,The Harvest Academy,"Distribution Hub, Donation Drives",,, Volunteering in their kitchen,Monetary donations via Paypal: info@theharvestacademyclub.org,,DM @theconciergekitchen on Instagram to get involved,,
Pasadena,1/10 7:30 PM,Pasadena Humane Society (Emergency Boarding),Animal Boarding,"361 S. Raymond Avenue
Pasadena, CA 91105",,They do NOT need volunteers,Donations at Capacity (1/10 Update),,"Need foster care, kennels are full. If you are able, come to the foster office",For donation and foster care information,
Pasadena,1/10 7:30 PM,Pasadena Humane Society (Pet Supply Distribution),"Free Items, Distribution Hub","1570 E Colorado Blvd., Pasadena, CA 91106",,,Donations at Capacity (1/10 Update),"pet food & supplies through Sat, Jan 11","Pet Supply Pick-Up
When: Open now, January 10 through Saturday, January 11
Where: Pasadena City College, Lot 4, Level 1
1570 E Colorado Blvd., Pasadena, CA 91106",Pet Food & Supply Distribution,
Pasadena,,Agnes Restaurant & Cheesery,"Wifi/Charging, Free Prepared Meals","40 W Green St, Pasadena, CA 91105",,,,boxed lunches and a place to charge devices,,,
Remote,,Satellite Fire Map,Information,"https://firms.modaps.eosdis.nasa.gov/usfs/map/#d:24hrs;@-115.6,33.8,7.7z",,,,,Do NOT use for evacuation information or to estimate risk.,,
Remote,,Latest Evacuation Map,Information,Protect Genasys,,,,,,Protect Genasys,
Remote,,Sign up for LA County Emergency Alerts,Information,LA County Emergency Alerts,,,,,,,
Remote,,The Emergency Response Program ,Shelter,Call 211 or go to https://211la.org/LA-Wildfires,,,,,"Individuals experiencing unsheltered homelessness in the following Service Planning Areas (SPA) may access hotel/motel vouchers from Tuesday, January 7, 2025 - Thursday, January 9, 2025, with check-out on Friday, January
10, 2025, at 11:00 am, by dialing 211 or connecting with an outreach worker:
County:
SPA 1- Antelope Valley
SPA 2- Santa Clarita Valley
SPA 3- San Gabriel Valley
SPA 5- West Los Angeles - County areas
SPA 6- South Los Angeles - County areas
SPA 7- East Los Angeles
SPA 8- South Bay/Harbor - County areas
City:
SPA 2- San Fernando Valley - LA City areas
SPA 4- Metro
SPA 5- West Los Angeles - LA City areas
SPA 6- South Los Angeles
SPA 8 - South Bay/Harbor - LA City areas",Instagram,
Remote,,Disaster Strat ,Information,,,,,,Call/text Disability and Disaster Hotline 800-626-4959 or email hotline@disasterstrategies.org,Instagram,
Remote,,Mr.Mealsprepking,Free Prepared Meals,,,,,Providing meals for people imapacted by fires ,Call 626-234-3275,Instagram,
Remote,,We Evolve Together,Free Items,,,,,masks,DM @we_evolvetogether for any places that need masks and they will donate,Instagram,
Remote,,Rescue Cottage,Animal Boarding,,Hamster boarding,,,,DM @rescue.cottage for free hamster boarding. They will drive to you!,,
San Fernando Valley,1/10 @ 3:54pm,The People's Struggle SFV,"Free Items, Distribution Hub",,,NO MORE VOLUNTEERS NEEDED,"HAVE: water bottles
STILL NEED:
hot foods, masks (n95 or p100 preferred), saline spray (nasal), tents, hand warmers, goggles, alcohol wipes, large/medium bandages, gauze, saline flushes, wound wraps, chuck pads, pads/tampons, ziplocks (quart size), batteries, sanitation (soap & hand sanitizer), baby supplies (formula, diaper, etc.), paper towels, sleeping bags, blankets, flashlights, can openers, non perishable foods (canned), pet supplies (pet food, etc), whistles (signal emergency)
(Update 1/9/25 at 6:55PM)",transportation,Transporting supplies and offering EVAC rides. Please dm or signal: https://tinyurl.com/PSSFV,Instagram,
San Fernando Valley,,Pawparazzi,Animal Boarding,"8968 Fullbright Ave.C
Chatsworth, CA 91311",Dog and cat boarding,,,animal boarding,"Large pet resort in Chatsworth ready to help take in evacuated dogs and cats. Pets must be human friendly. They have dog food available if needed. 
Call for details: 818-860-0729.",Instagram,
San Gabriel Valley,,Cricket Party Services ,Distribution Hub,"633 South Palm Ave
Alhambra, CA 91803",,,food and water ,,need food and water (will be donating to local fire fighters) call 626-741-7349 Julio,,
San Gabriel Valley,,All Souls Parish Hall,Distribution Hub,"29 S Electric Ave
Alhambra, CA 91801",,,Collecting items for community distribution,,"Gift cards, cash, new clothing (all sizes + genders), blankets, bedding, purses + wallets, backpacks + school supplies, diapers (all sizes!), strollers, tools, cleaning supplies. Call 626-282-5695.",,
San Luis Obispo,,"Annekevh_hickman, La Lomita Ranch",Animal Boarding,"1985 La Lomita Way
San Luis Obispo, CA 93401",Horse boarding,@annekevh_hickman,,,DM @annekevh_hickman or @lalomitaranch on IG ,Instagram,
Santa Monica,,Reality Center,Shelter,"1428 2nd St #400
Santa Monica, CA 90401",,,,,,,
Santa Monica,,Mud\WTR:gather (mudwtrgather),"Shelter, Donation Drives","2515 Main Street
Santa Monica, CA 90405",,"Drivers with truck/cargo vehicles some flexibility needed
","5 gal buckets w/lids, 5 gal water drums, fire extinguishers, masks, water, coveralls, & work gloves","WiFi, Parking Lot, Blankets, Heat","Open Everyday 7am - 6pm
For Shelter, pls text 424-436-9840",Instagram,
Santa Monica,,Vintage Church,Wifi/Charging,"1015 California Ave
Santa Monica, CA 9040",,,,"bathrooms, wifi, snacks",,Instagram,
Sherman Oaks,,Z.A. Lawyers ,"Shelter, Wifi/Charging",,,,,"Office space with power, internet, & storage space
Hotel rooms in Sherman Oaks","DM @Zalawyers - for office space
DM @ginazapanta_ - for hotel rooms",Instagram,
Silverlake,,Be U Vietnamese Restaraunt,"Free Items, Free Prepared Meals","557 N Hoover St, Los Angeles, California 90004",,,,Free meals for fire evacuees and first responders,,Instagram,
Silverlake,,La Sorted,"Free Items, Free Prepared Meals","2847 Sunset Blvd, Los Angeles, CA 90026",,,,Free pizza for evacuees and people in need,,,
Skid Row,,Skid Row People's Market -- Free Masks,Free Items,"5th and San Pedro
Los Angeles, CA  90013",,,,Free masks,,,
Skid Row,,The Sidewalk Project LA,"Distribution Hub, Shelter","768 Stanford Ave.
Los Angeles, CA 90021",,Asking for volunteers to drop off hot food. ,"Tarps, tents, sandbags, N95 masks, cots, blankets, bungee chords, respirators",,"Receiving unhoused from Skid Row, Mac Park, and unhoused from evacuation zones. ",,
Sylmar,,All Things and More,Free Items,"8321 San Fernando Road,
Sun Valley, CA",,,," blakets, sheets, pillow, clothing","Thrift store offering free: blakets, sheets, pillow, clothing",Instagram,
Ventura,,Food Share of Ventura County,"Distribution Hub, Free Items","College Park
3250 S Rose Ave
Oxnard, CA 93033",,,,,"Weekly drive-thru food distribution at College Park
Open to anyone in need of additional food resources/those affected by power outages",,
West Adams,,All Power Books,"Free Items, Shelter, Distribution Hub","4749 W. Adams Boulevard
Los Angeles, CA 90016",,,NOT ACCEPTING PHYSICAL DONATIONS (updated 1/9 2:15pm),"power, internet, storage space",KN95 Masks and water available for pickup -- charging and WiFi available,,
West Hollywood,,Pommomhannah,Animal Boarding,Call them at 310-473-5585 for details + help,,,,,"If you need pet supplies or boarding, contact them at 310-473-5585",Instagram,
Westlake,,The Barkley Pet Hotel and Day Spa,Animal Boarding,"31166 Via Colinas, Westlake Village, CA 91362",Pets,,,,Free boarding  818-889-2275,,
Culver City,01/10 2:00 PM,Mija Fitness,Distribution Hub,"4700 Inglewood Blvd
Culver City, CA 90230",,,"healthy snacks, tupperware, socks all sizes NEW, blankest, sleeping bags, flash lights, paper towels, pillow cases, pillows, children toys, toiletries, All warm clothes, Luggage, bedding, New undergarments all sizes, OTC pain medication, construction goggles",,,Instagram,
Bakersfield,,All Seated in a Barn,"Animal Boarding, Horse Hauling","30764 Imperial St, Shafter, CA 93263",Large Animal,,,animal hauling and boarding,"tranport, boarding and and food for large animals",Instagram,
Ranchita,01/09 4:00 PM,"Little Bitty Animal Sanctuary, Inc.",Animal Boarding,"37825 MONTEZUMA VALLEY RD
RANCHITA CA 92066-9739",Large and small,,"Food donations for dogs, cats and rabbits",animal hauling and boarding, We are roughly 2-3 hour drive away from LA on the eastern edge of San Diego county.,Instagram,
Ojai,,Shepherdess Land & Livestock,"Animal Boarding, Horse Hauling","Ojai, CA",Hoses and livestock,,,animal hauling and boarding,"equine and livestock hauling, water troughs, animal boarding",Instagram,
Anaheim,01/10 3:00 PM,Villains Brewing,Free Items,"555 S Anaheim Blvd, Anaheim, California 92805",,,"Food bank donations-tuna, chicken and salmon cans, low sodium soups and chili, nut butters, low sugar cereals, protein bars, whole grain pasta, rice, NO pet food or open packages",food,"We are open and ready to support anyone impacted by the fires. If you need food, please feel free to reach out to us directly via DM—we’re here to help in any way we can.",Instagram,
Los Angeles,01/10 8:17 PM,Superchief Gallery LA,Distribution Hub,"1965 S Los Angeles St, Los Angeles, California 90011",,Volunteers to help organize & make deliveries contact Celina@thecelinarodriguez.com,"snacks/canned goods, phone chargers, shovels & tools, soap, toilet paper & wipes, toiletries, toothbrush/paste, towels, water

art supplies for LA Youth (canvases, watercolor paper, markers, pencils & pens, sketchbooks, paint brushes, acrylic & tempura paint, kid safe art tools, cups, palettes)

Clothing Donations AT CAPACITY. ",,"Open for donations daily, 12-7pm",Instagram,
Los Angeles,01/10 3:30 PM,BunnyLuv Rabbit Resource Center,Animal Boarding,"10935 Camarillo St. North Hollywood, CA","bunnies, all small animals",,"bunnies, hamsters, guinea pigs",,,Instagram,
Pasadena,01/10 4:30 PM,Union Station Homeless Services,Donation Drives,"412 S. Raymond Avenue, Pasadena, CA 91104",,"YES! Please come on Saturday 01/11/25, and be ready for anything. (Updated 1/10/25 at 4:32PM)","accepting donation of bottled water, N95 masks, non-perishable food items, eggs, gatorade, liqiuid IV or electrolites, beef jerky , deli meats for sandwhiches, cheese slices, bread, frozen burritos or similar, easy microwave meals, cup of noodles, tuna/chicken cans, kid snacks, protein bars, gift cars, disposable utensils, plates, and cups. PARTICULARLY: 32 oz bins, first aid, masks, blankets, toiletries. DROP OFF BTWN 8AM-5PM.  (Updated 1/9/25 at 4:32PM)",,open for drop off 8:00 am - 5:00 pm everyday,Instagram,
San Fernando Valley,,Zaca Creek Ranch,Animal Boarding,Buellton ,horses,,,Ranch in Santa Ynez that could temporarily shelter horses. Dennis Patrick/Hayley Firestone. Email zacacreekranch@gmail.com or call 805-698-4540.,https://zacacreekranch.wpcomstaging.com/,,
Remote,,Teladoc Health,"Free Items, Services",Virtual only!,,,,,"Individuals in Southern California who have been displaced or who cannot access medical care as a result of the fire can seek treatment from a licensed health care professional for any non-emergency illness by calling Teladoc Health directly at 855-225-5032. Individuals seeking physician-authorization for prescription refills of non-narcotic drugs can also get assistance. For emergencies, patients should call 911.",https://www.teladochealth.com/newsroom/press/teladoc-health-is-providing-free-virtual-health-care-services-to-southern-california-residents-impacted-by-the-palisades-fire,
Los Angeles,1/10 3:30 PM,Ktownforall,"Free Items, Distribution Hub, Services","3300 Wilshire Blvd, Los Angeles, CA 90010",,"Volunteers needed for Outreach on Saturday, 01/11 12pm meet at Immanuel Pres Churh 3300 Wilshire Blvd, Los Angeles, CA 90010. Parking lot on Berendo St","Masks, tarps, tents, funds","Masks, tarps, tents for unhoused folks ","Outreach on Saturday, 01/11 12pm Immanuel Presbytarian Church, parking on Berendo St. 3300 Wilshire Blvd, LA, CA 90010",Instagram,
Pasadena,1/10 8:04 PM,National Day Laborer Organizing Network / Pasadena Community Job Center,Distribution Hub,"500 N Lake Ave, Pasadena, CA 91101",,"1/11 Volunteer hours:
8AM / 12PM / 4PM","1/10 - No more food donations are needed tonight
1/11 - Accepting hot meals and perishables, produce is also welcome (apples, bananas, oranges).

All donations accepted, but ESPECIALLY: n95 masks, baby wipes, masks, alcohol wipes (like for first aid) and ziplocks (gallon-ish size) for making hygiene kits. also diapers and feminine hygiene always appreciated. 
",,"Drop off donations at the Pasadena Community Job Center. Call 626-440-0112 with questions.

Donations accepted during these time windows only:
8AM / 12PM / 5PM

Volunteer hours:
8AM / 12PM / 4PM",https://www.instagram.com/p/DEq4Gv8pS2M/,
Los Angeles,1/10 5:30 PM,The Plus Bus Boutique,Free Items,"5031 York Blvd, Los Angeles, CA 90042",,,"Store credit or plus size clothing donations needed, both mens and womens, in need of plus size underwear and socks",Offering free clothing to plus size folks affected by fires,,Instagram,
Greater LA Area,1/10 10:00 AM,Cocokind,"Shelter, Distribution Hub","Mail products, they pay for shipping",,,unopened PR/products ,Offering 10 free rooms at a local hotel for displaced folks. Email info@cocokind.com ,,Instagram,
Long Beach,1/10 7:00 PM,RightMealz,Donation Drives,"422 E 4th St, Long Beach, CA",,,"Drop off donations 1/10/25 3pm-8pm . baby supplies, hygiene products for men and women, socks, underwear, sports bras, regular bras, baby wipes, NEW clothing, protein bars, beanies and scarves, toiletry items, blankets",,Donations will be delivered to emergency shelters (location listed is for donations only).,Instagram,
Greater LA Area,,LAUSD,Free Prepared Meals,"Mulholland Middle School, Sepulveda Middle School, San Fernando Middle School, Richard E. Byrd Elementary School, Hollenbeck Middle School, South Gate High School, LA Academy Middle School, John H. Liechty Middle School, Fremont High School, Harry Bridges Span School, Edwin Markham Middle School, Barack Obama Global Preparation Academy, Marina Del Rey Middle School, Sonia Sotomayor Arts and Sciences and magnet, Berendo Middle School, Fairfax High School ",,,,LAUSD,"8am to 11pm 1/9/25 and 1/10/25, 2 meals per student",https://www.instagram.com/p/DEncrDHS6tw/?img_index=1,
Remote,,LAUSD resource line,Services,phone,,,,Mental health support. Call 213-241-3840 anytime between 7AM to 6PM M-F,,,
Bellflower,,Aligned Soul,Donation Drives,"9810 Maple St, Bellflower, CA 90706",,,"Moving boxes, new or gently used clothing, hygiene items, food and water, baby items, blankets, pet food, batteries, N95 masks",,Collecting Tuesday 1/14 12pm-7pm,,
Greater LA Area,,FIGS - free resources for hospital workers ONLY,"Free Items, Free Prepared Meals","Email HereforLA@wearfigs.com with all requests for
FIGS' support",,,,"* Providing PPE and essential supplies to hospitals
* Providing meals for healthcare professionals and their families
* Sending scrubs to healthcare workers in need
* Helping with the cost of childcare
* Supporting any local relief efforts close to healthcare professionals' hearts
","Anyone in the healthcare community in need can reach out to HereforLA@wearfigs.com with all requests for
FIGS' support.",,
Los Angeles,,Westchester Veterinary Center,Animal Boarding,"8911 S Sepulveda Blvd, Los Angeles, CA 90045",Cats + small dogs,,,"Free boarding; small space, so limited availability. Free basic burn care, but not equipped for more complex burn cases.",,,
Greater LA Area,,LA County Federation of Labor,Services,"2130 James M Wood Blvd, Los Angeles, CA 90006",,,,Housing assistance and other information for union members in LA county,,https://www.instagram.com/p/DEne2Z0sQoQ/?img_index=3,
Pasadena,1/10 7:15 PM,Octavia's Bookshelf,"Wifi/Charging, Free Items, Distribution Hub","1353 N. Hill Ave, Pasadena, CA 91104",,,Donations Full (1/10 7:15PM),"water, food, diapers (sizes 1,3-6), baby/toddler snacks, all toiletries, some OTC meds, feminine products, pillows, blankets, socks & masks",No DMs please,,
Greater LA Area,,Pike Bar,"Free Prepared Meals, Wifi/Charging, Shelter","1836 E 4th St, Long Beach, CA 90802",,,,"Free burgers for any first responders or evacuees in the area! Shelter available, all ages and pets welcome.",,,
Greater LA Area,,Tyrone Smith - MOBILE EV CHARGING,Wifi/Charging,Will come to you! ,,,,Mobile EV charging,Call: 661-900-8111,,
Greater LA Area,,Westchester Family YMCA,"Services, Donation Drives","8015 S Sepulveda Blvd. Los Angeles, CA",,Yes! In need of volunteers (1/9/25 1:26PM),"NEW & UNEXPIRED: food, water, phone chargers, pillows, toiletries, medical supplies, pet supplies. 

NEW/GENTLY USED: clothing (all), blanckets & towels (Updated 1/9/25 1:28 PM)",CHILD CARE: YMCA centers open for child care for students TK-8th grade on Jan 9 and Jan 10 (will update on whether they are doing more days). Contact afterschool@ymcala.org. Open to children of essential workers and children of families who have been displaced.,"Hours: Monday-Friday, 6am-9pm",,
Los Angeles,,Driven Collection,Free Items,"10730 McCune Ave, Los Angeles, California 90034",,,,collector car stroage ,If anyone is in need of vehicle storage during these fires please call/text/email/just show up. We will store your vehicles at no cost during this difficult time.,Instagram,
Culver City,,Black Imge Center,"Wifi/Charging, Free Items","3209 La Cienega Ave, Culver City, California 90232",,,,"snacks, water, masks, A/C and a safe space for anyone who needs",,instagram,
Los Angeles,,guerrero gallery,"Free Items, Wifi/Charging","3407 Verdugo Rd, LA",,,,"bathrooms, water, charging",,Instagram,
Burbank,,Westminster Presbyterian Church (West Pres Church),"Wifi/Charging, Free Prepared Meals","542 N Buena Vista St, Burbank, CA 91505",,,,"power, water, snacks, hygine products ",everyday 4-9pm,Instagram,
Los Angeles,,Crustacean Beverly Hills,Free Prepared Meals,"468 N Bedford Dr, Beverly Hills, California 90210",,,,bowl of pho or noodles for first responser and people affected by fires,,Instagram,
Santa Monica,,Qusco Bistro,Free Prepared Meals,"11633 Santa Monica blvd, los angeles, California, 90025",,,,"dinner, hot meals to those displaced and frontline workers","reg hours, 5-9 pm, saturday: as long as they can stay open",,
Los Angeles,,DRIVEN STRENGTH CLUB,Wifi/Charging,"12311 Telegraph Rd, Santa Fe Springs, California 90670",,,,coworking at no charge,"Free All-Day Pass – Come in, settle down, and get your work done in a supportive environment.
What We Offer – Wi-Fi, power outlets, a comfortable workspace, and a welcoming community.

Simply show up and let our front desk staff know you're here to cowork. No fees, no questions, just community helping community.
",Instagram,
Los Angeles,,Private School Village,"Free Items, Information",,,,doantions: https://www.privateschoolvillage.org/emergencysupportresources,"giftcards
apply at: https://www.privateschoolvillage.org/emergencysupportresources",list of resources: https://www.privateschoolvillage.org/emergencysupportresources,,
Los Angeles,,Zaya,Free Items,"515 W 7th Street, Los Angeles, California 90014",,,,free meals for fire victims,Starting Thursday (1/9) 2-6pm. More info: 213.375.8240,Instagram,
Los Angeles,,Quantum Clinic,"Services, Donation Drives","2828 Newell St Suite 6, Los Angeles, CA 90039",,,Food & clothing,"Free support groups, Fridays 10-11:30am and 2-3:30pm",,,
Los Angeles,,Rainbow Acres,Donation Drives,"13208 W Washington Blvd, Los Angeles, California 90066",,,pet supplies and hygine products Thursday (1/9) 10am-4pm,,,Instagram,
Los Angeles,,Snail Farm,Donation Drives,"501 S ave 17 Unit C Los Angeles, CA 90031. Entrance is on Mozart",,,"masks, water, canned foods, clothes",,,,
San Diego,,Al Otro Lado,Donation Drives,"Sugar & Lash Collective,3307 Fourth Ave, San Diego, CA 92103",,,"Work gloves, Large trash bags, N95 masks and or respirators, Easy high calorie non-perishable food items. (Cliff Bars, Trail Mix, Flip top canned tuna, chicken, beans, fruit, peanut butter), Feminine Supplies, Toiletries, New socks/underwear, Diapers/wipes, Safety glasses/goggles, Tarps, Tents

NO CLOTHING",,Al Otro Lado will be collecting essential supplies for displaced folks and migrant workers who have been impacted by the devastating wildfires in L.A.,,
Santa Monica,,EATALY,Free Items,"10250 Santa Monica Blvd, Los Angeles, CA 90067",,,,free meals to first responders and evacuees,,,
Remote,01/10 7:00p,Mask Bloc LA,Free Items,,,SEEKING PEOPLE TO ACT AS DISTRIBUTION POINTS FOR FREE MASK SHIPMENTS,"Funds, high-quality masks/respirators, other types of PPE (ex. goggles)","Masks/respirators, rapid tests, other types of PPE (ex. goggles)","For up to date information on distribution locations and volunteer opportunities, check Instagram",Instagram,
Gardena,01/10 7:00p,Carson Animal Care Center,Animal Boarding,"216 W Victoria St, Gardena, CA",small,Currently no fostering needs,"NOT ACCEPTING ITEM DONATIONS
Monetary donations at: https://animalcare.lacounty.gov/donate/",Shelter to evacuating animals,,Instagram,
Pomona,,Pomona Fairplex,"Shelter, Animal Boarding","1101 W McKinley Ave, Pomona, CA 91768, USA",large,,,,,https://www.facebook.com/redcrossla/posts/pfbid02TMT1HEfDhjGPhyoaquCEUo3hVFSdAkXbQufiDuUohk38WjHuJoj3ihszN36rUQxNl,
Downey,,Downey Animal Care Center,Animal Boarding,"1258 Garfield Ave, Downey",small,,,,,https://lacounty.gov/emergency/,
Los Angeles,,Pan Pacific Recreational Center,Shelter,"7600 Beverly Blvd, Los Angeles, CA 90036, USA",,,,,,https://lafd.org/news/sunset-firee,
Rosemead,,Rosemead Chamber of Commerce,Free Items,"3953 Muscatel Ave, Rosemead, CA 91770",,,,N95s and KN95s,"8am-5pm Friday
10am02pm Saturday and Sunday",,
Los Angeles,1/10 8:08 PM,storiesbooksandcafe,"Donation Drives, Free Prepared Meals","1716 sunset blvd., Los Angeles, California 90026",,,"AT CAPACITY FOR DONATIONS. water, pet supplies, nonperishables, clothes, blankets, hygine products, kids stuff","water, pet supplies, nonperishables, clothes, blankets, hygine products, kids stuff",Friday (1/10) 9am-9pm ,https://www.instagram.com/p/DEnbwlKyGh3/,
Los Angeles,1/10 6:47 PM,Snoop Dogg’s Clothing,"Free Items, Donation Drives","905a S Prairie Ave
INGLEWOOD CA 90301",,,"household supplies, pillows, linens, sleeping bags, flashlights, batteries, pet food, power banks, stuffed animals, scarves/shawls, coloring books, crayons, toys and games, children's books, eye masks, earplugs, slippers, new socks and underwear, new clothing, new or gently used shoes, hygiene items, menstrual products",clothing,Please stop by and pick up some clothing that we have available to get you and your family through these trying times free of charge. Friday-Tuesday 11am-7pm,,
Irvine,,Atomic Ballroom,"Wifi/Charging, Donation Drives","17961 Sky Park Cir, Ste C, Irvine, California 92614
",,,"clothing, masks, water, pillows, towels, hygine products, batteries, sleeping bags, socks, nonperishables","coffee, tea, wifi, charging",,https://www.instagram.com/atomicballroom?igsh=NTc4MTIwNjQ2YQ%3D%3D,
Culver City,,Village Well Books & Coffee,"Free Items, Wifi/Charging","9900 Culver Blvd #1b, Culver City, CA 90232",,,,"free drink to first responders nad evacuees, wifi, water, bathrooms",,https://www.instagram.com/villagewellcc?igsh=NTc4MTIwNjQ2YQ%3D%3D,
