📍 See this list on Google Maps,,,Donate to keep MALAN running! ,,,,,,
"This is not an exhaustive list. Info will be updated as we are able to. Please reach out to the organizers directly for clarifying questions. If you have additional resources, please add them to this MALAN Instagram post and we will add it to this list! https://www.instagram.com/p/DEjhEgiRE9y/",,,,,,,,,
City,Name,Aid Type,Address,Animals? ,Volunteers Needs,Accepting ,Providing,Notes,Source
Remote,The Emergency Response Program ,Shelter,Call 211 or go to https://211la.org/LA-Wildfires,,,,,"Individuals experiencing unsheltered homelessness in the following Service Planning Areas (SPA) may access hotel/motel vouchers from Tuesday, January 7, 2025 - Thursday, January 9, 2025, with check-out on Friday, January
10, 2025, at 11:00 am, by dialing 211 or connecting with an outreach worker:
County:
SPA 1- Antelope Valley
SPA 2- Santa Clarita Valley
SPA 3- San Gabriel Valley
SPA 5- West Los Angeles - County areas
SPA 6- South Los Angeles - County areas
SPA 7- East Los Angeles
SPA 8- South Bay/Harbor - County areas
City:
SPA 2- San Fernando Valley - LA City areas
SPA 4- Metro
SPA 5- West Los Angeles - LA City areas
SPA 6- South Los Angeles
SPA 8 - South Bay/Harbor - LA City areas",https://www.instagram.com/p/DEk5aZESyjJ/?igsh=ZGUzMzM3NWJiOQ%3D%3D&img_index=2
Remote,Disaster Strat ,Information,Call/text Disability and Disaster Hotline 800-626-4959 or email hotline@disasterstrategies.org,,,,,,https://www.instagram.com/p/DEkyfGWJKGC/?igsh=NTc4MTIwNjQ2YQ==
Remote,Mr.Mealsprepking,Free Items,Call 626-234-3275,,,,Providing meals for people imapacted by fires ,,https://www.instagram.com/mrmealprepking?igsh=NTc4MTIwNjQ2YQ==
Remote,We Evolve Together,Free Items,,,@we_evolvetogether,,masks,DM for any places that need masks and they will donate,Instagram
Remote,Rescue Cottage,Animal Boarding,,Hamster boarding,@rescue.cottage,,animal boarding,DM @rescue.cottage for free hamster boarding. They will drive to you!,
San Fernando Valley,The People's Struggle SFV,"Free Items, Distribution Hub",,,,"HAVE: water bottles
STILL NEED:
hot foods, masks (n95 or p100 preferred), saline spray (nasal), tents, hand warmers, goggles, alcohol wipes, large/medium bandages, gauze, saline flushes, wound wraps, chuck pads, pads/tampons, ziplocks (quart size), batteries, sanitation (soap & hand sanitizer), baby supplies (formula, diaper, etc.), paper towels, sleeping bags, blankets, flashlights, can openers, non perishable foods (canned), pet supplies (pet food, etc), whistles (signal emergency)
(Update 1/9/25 at 6:55PM)",transportation,Transporting supplies and offering EVAC rides. Please dm or signal: https://tinyurl.com/PSSFV,Instagram
San Fernando Valley,Pawparazzi,Animal Boarding,"8968 Fullbright Ave., Chatsworth, CA 91311
",Dog and cat boarding,@pawparazzipups,,animal boarding,Large pet resort in Chatsworth ready to help take in evacuated dogs and cats. Pets must be human friendly. They have dog food available if needed. CAll for details: 818-860-0729.,Instagram
San Gabriel Valley,Cricket Party Services ,Distribution Hub,"633 South Palm Ave, Alhambra, CA 91803",,,food and water ,,need food and water (will be donating to local fire fighters) call 626-741-7349 Julio,
San Gabriel Valley,All Souls Parish Hall,Distribution Hub,"29 S Electric Ave, Alhambra, CA 91801",,,Collecting items for community distribution,,"Gift cards, cash, new clothing (all sizes + genders), blankets, bedding, purses + wallets, backpacks + school supplies, diapers (all sizes!), strollers, tools, cleaning supplies. Call 626-282-5695.",
San Luis Obispo,"Annekevh_hickman, La Lomita Ranch",Animal Boarding,"1985 La Lomita Way, San Luis Obispo, California 93401",Horse boarding,@annekevh_hickman,,,DM @annekevh_hickman or @lalomitaranch on IG ,Instagram
Santa Monica,Reality Center,Shelter,"1428 2nd St #400, Santa Monica, CA 90401",,,,,,
Santa Monica,Mud\WTR:gather (mudwtrgather),Shelter,"2515 Main Street, Santa Monica, CA 90405",,"Providing shelter, wifi, parking. IG @mudwtrgather",,,,
Santa Monica,Vintage Church,Wifi/Charging,"1015 California Ave, Santa Monica, CA 9040",,,,"bathrooms, wifi, snacks",,Instagram
Sherman Oaks,Zala Lawyers ,Shelter,"Hotel rooms in Sherman Oaks for evacuees, DM @ginazapanta_ on Instagram",,,,"space at their offices with power, internet, storage space for folks who need a home base","@Zalawyers are also providing space at their offices with power, internet, storage space for folks who need a home base",
Silverlake,Be U Vietnamese Restaraunt,Free Items,"557 N Hoover St, Los Angeles, California 90004",,,,Free meals for fire evacuees and first responders,,Instagram
Silverlake,La Sorted,Free Items,"2847 Sunset Blvd, Los Angeles, CA 90026",,,,Free pizza for evacuees and people in need,,
Skid Row,Skid Row People's Market -- Free Masks,Free Items,5th and San Pedro,,,,Free masks,,
Skid Row,The Sidewalk Project LA,"Distribution Hub, Shelter","768 Stanford Ave.
Los Angeles, CA 90021",,,"Tarps, tents, sandbags, N95 masks, cots, blankets, bungee chords, respirators",,"Receiving unhoused from Skid Row, Mac Park, and unhoused from evacuation zones. Asking for volunteers to drop off hot food. ",
Sylmar,All Things and More,Free Items,"8321 San Fernando road Sun Valley, California",,,," blakets, sheets, pillow, clothing","Thrift store offering free: blakets, sheets, pillow, clothing",Instagram
Ventura,Food Share of Ventura County,"Distribution Hub, Free Items",College Park,,,,,weekly drive-thru food distribution at College Park is open to anyone in need of additional food resources/those affected by power outages,
West Adams,All Power Books,"Free Items, Shelter, Distribution Hub",4749 W. Adams Boulevard,,,Not accepting physical doantions (updatesd 1/9 2:15pm),"space at their offices with power, internet, storage space for folks who need a home base",KN95 Masks and water available for pickup -- charging and wifi available,
West Hollywood,Pommomhannah,Animal Boarding,Call them at 310-473-5585 for details + help,,,,,"If you need pet supplies or boarding, contact them at 310-473-5585",Instagram
Westlake,The Barkley Pet Hotel and Day Spa,Animal Boarding,"31166 Via Colinas, Westlake Village, CA 91362",,,,,Free boarding  818-889-2275,
Woodland Hills ,El Camino Real Charter High School,Shelter,"5440 Valley Circle Road
Woodland Hills, CA 91367",,,,,,
Woodland Hills ,Pierce College Equestrian Center,Animal Boarding,"6201 Winnetka Ave
Woodland Hills, CA 91371",Large Animals,,,,UPDATE 01/08/25 3:45P - FULL ,
Culver City,Mija Fitness,Distribution Hub,"4700 Inglewood Blvd
Culver City, CA 90230",,,"baby clothing, brown paper bags, boxes, ziplock bags, first aid kits, water, baby supplies, non-perishable food, travel size toiletries (updated 1/9 2pm)",,,Instagram
Bakersfield,All Seated in a Barn,"Animal Boarding, Horse Hauling","30764 Imperial St, Shafter, CA 93263",Large Animal,,,animal hauling an boarding,"tranport, boarding and and food for large animals",Instagram
Ranchita,"Little Bitty Animal Sanctuary, Inc.",Animal Boarding,"37825 MONTEZUMA VALLEY RD
RANCHITA CA 92066-9739",Large and small,,,, We are roughly 2-3 hour drive away from LA on the eastern edge of San Diego county.,Instagram
Ojai,Shepherdess Land & Livestock,"Animal Boarding, Horse Hauling","Ojai, CA",Hoses and livestock,,,,"equine and livestock hauling, water troughs, animal boarding",Instagram
Anaheim,Villains Brewing,Free Items,"555 S Anaheim Blvd, Anaheim, California 92805",,,,food,"We are open and ready to support anyone impacted by the fires. If you need food, please feel free to reach out to us directly via DM—we’re here to help in any way we can.",Instagram
Los Angeles,Picaresca Barra De Cafe & Casa Tostadora,Distribution Hub,"2931 e 4th st, East Los Angeles, California 90033",,,"masks, clothes, non-perishable food, first aid products, pet food, sanitary products",,,Instagram
Los Angeles,Superchief Gallery LA,Distribution Hub,"1965 S Los Angeles St, Los Angeles, California 90011",,,accpeting donations 12-7pm,,,Instagram
Los Angeles,BunnyLuv Rabbit Resource Center,Animal Boarding,"10935 Camarillo St. North Hollywood, CA",bunnies,,,,,Instagram
Pasadena,Union Station Homeless Services,Distribution Hub,"412 S. Raymond Avenue, Pasadena, CA 91104",,"YES! Please come on Friday, 1/10/25, and be ready for anything. (Updated 1/9/25 at 4:32PM)","accepting donation of bottled water, N95 masks, non-perishable food items, non-perishable toiletries, meals, baby formula and food, disposable utensils, plates, and cups. PARTICULARLY: first aid, masks, blankets, toiletries. DROP OFF BTWN 8AM-5PM.  (Updated 1/9/25 at 4:32PM)",,open for drop off 8:00 am - 5:00 pm everyday,Instagram
San Fernando Valley,Zaca Creek Ranch,Animal Boarding,https://zacacreekranch.wpcomstaging.com/,horses,,,,Ranch in Santa Ynez that could temporarily shelter horses. Dennis Patrick/Hayley Firestone. Email zacacreekranch@gmail.com or call 805-698-4540.,
Remote,Teladoc Health,"Free Items, Services",Virtual only!,,,,,"Individuals in Southern California who have been displaced or who cannot access medical care as a result of the fire can seek treatment from a licensed health care professional for any non-emergency illness by calling Teladoc Health directly at 855-225-5032. Individuals seeking physician-authorization for prescription refills of non-narcotic drugs can also get assistance. For emergencies, patients should call 911.",https://www.teladochealth.com/newsroom/press/teladoc-health-is-providing-free-virtual-health-care-services-to-southern-california-residents-impacted-by-the-palisades-fire
Los Angeles,Ktownforall,"Free Items, Distribution Hub",Koreatown,,,"Masks, tarps, tents, funds","Masks, tarps, tents for unhoused folks ",,
Pasadena,National Day Laborer Organizing Network,Distribution Hub,"Pasadena Community Job Center, 500 N Lake Ave, Pasadena",,"Actively calling for volunteers at 9am tomorrow to pack kits and organize supplies for distro then they’re doing a cleanup crew that’s gonna go out to the neighborhoods starting at 1pm with a mandatory safety briefing. (Update 1/9/25, 4:29PM)","All donations accepted, but ESPECIALLY: baby wipes, masks, alcohol wipes (like for first aid) and ziplocks (gallon-ish size) for making hygiene kits. also diapers and feminine hygiene always appreciated. (Update 1/9/25, 4:29PM)",,"Drop off donations at the Pasadena Community Job Center. Call 626-440-0112 with questions.

OPen at 7",https://www.instagram.com/p/DElsWTTJrBc/
Los Angeles,The Plus Bus Boutique,Free Items,"5031 York Blvd, Los Angeles, CA 90042",,,Store credit or plus size clothing donations needed,Offering free clothing to plus size folks affected by fires,,https://www.instagram.com/p/DEncWDPSAhc/
Greater LA Area,Cocokind,Shelter,,,,,Offering 10 free rooms at a local hotel for displaced folks. Email info@cocokind.com ,,https://www.instagram.com/p/DEnMKO7vEzT/?img_index=1
Long Beach,RightMealz,Distribution Hub,"422 E 4th St, Long Beach, CA",,,"Drop off donations until 9pm 1/9/25. Accepting water bottles, snacks, socks, underwear, blankets, dog food, non perishable items, hygiene items, first aid kits, infant care supplies",,Donations will be delivered to emergency shelters (location listed is for donations only).,https://www.instagram.com/p/DElLOUDS1Mc/?img_index=1
Greater LA Area,LAUSD,Free Prepared Meals,"Mulholland Middle School, Sepulveda Middle School, San Fernando Middle School, Richard E. Byrd Elementary School, Hollenbeck Middle School, South Gate High School, LA Academy Middle School, John H. Liechty Middle School, Fremont High School, Harry Bridges Span School, Edwin Markham Middle School, Barack Obama Global Preparation Academy, Marina Del Rey Middle School, Sonia Sotomayor Arts and Sciences and magnet, Berendo Middle School, Fairfax High School ",,,,Grab and go meals for LAUSD students,"8am to 11pm 1/9/25 and 1/10/25, 2 meals per student",https://www.instagram.com/p/DEncrDHS6tw/?img_index=1
Bellflower,Aligned Soul,Distribution Hub,"9810 Maple St, Bellflower, CA 90706",,,"Moving boxes, new or gently used clothing, hygiene items, food and water, baby items, blankets, pet food, batteries, N95 masks",,Collecting Tuesday 1/14 12pm-7pm,
Greater LA Area,FIGS - free resources for hospital workers ONLY,"Free Items, Free Prepared Meals","Email HereforLA@wearfigs.com with all requests for
FIGS' support",,,,"* Providing PPE and essential supplies to hospitals
* Providing meals for healthcare professionals and their families
* Sending scrubs to healthcare workers in need
* Helping with the cost of childcare
* Supporting any local relief efforts close to healthcare professionals' hearts
","Anyone in the healthcare community in need can reach out to HereforLA@wearfigs.com with all requests for
FIGS' support.",
Santa Monica,Westchester Veterinary Center,Animal Boarding,"8911 S Sepulveda Blvd, Los Angeles, CA 90045",Cats + small dogs,,,"Free boarding; small space, so limited availability. Free basic burn care, but not equipped for more complex burn cases.",,
Greater LA Area,LA County Federation of Labor,Services,"2130 James M Wood Blvd, Los Angeles, CA 90006",,,,Housing assistance and other information for union members in LA county,,https://www.instagram.com/p/DEne2Z0sQoQ/?img_index=3
Pasadena,Octavia's Bookshelf,Wifi/Charging,"1353 N. Hill Ave, Pasadena, CA 91104",,,,WiFi and power for charging ONLY,No DMs please,https://www.instagram.com/p/DEnLG6OveJ2/
Greater LA Area,Pike Bar,"Shelter, Free Prepared Meals","1836 E 4th St, Long Beach, CA 90802",,,,"Free burgers for any first responders or evacuees in the area! Shelter available, all ages and pets welcome.",,
Greater LA Area,Tyrone Smith - MOBILE EV CHARGING,Wifi/Charging,Will come to you! ,,,,Mobile EV charging,Call: 661-900-8111,
Greater LA Area,Westchester Family YMCA,Distribution Hub,"8015 S Sepulveda Blvd. Los Angeles, CA",,Yes! In need of volunteers (1/9/25 1:26PM),"NEW & UNEXPIRED: food, water, phone chargers, pillows, toiletries, medical supplies, pet supplies. NEW/GENTLY USED: clothing (all), blanckets & towels (Updated 1/9/25 1:28 PM)",,"Hours: Monday-Friday, 6am-9pm",
Los Angeles,Driven Collection,Free Items,"10730 McCune Ave, Los Angeles, California 90034",,,,collector car stroage ,If anyone is in need of vehicle storage during these fires please call/text/email/just show up. We will store your vehicles at no cost during this difficult time.,Instagram
Los Angeles,Black Imge Center,"Wifi/Charging, Free Items","3209 La Cienega Ave, Culver City, California 90232",,,,"snacks, water, masks, A/C and a safe space for anyone who needs",,instagram
Los Angeles,guerrero gallery,"Free Items, Wifi/Charging","3407 Verdugo Rd, LA",,,,"bathrooms, water, charging",,Instagram
Burbank,Westminster Presbyterian Church,"Wifi/Charging, Free Prepared Meals","542 N Buena Vista St, Burbank, CA 91505",,,,"power, water, snacks, hygine products ",everyday 4-9pm,Instagram
Los Angeles,Crustacean Beverly Hills,Free Prepared Meals,"468 N Bedford Dr, Beverly Hills, California 90210",,,,bowl of pho or noodles for first responser and people affected by fires,,Instagram
Santa Monica,Qusco Bistro,Free Prepared Meals,"11633 Santa Monica blvd, los angeles, California, 90025",,,,"dinner, hot meals to those displaced and frontline workers","reg hours, 5-9 pm, saturday: as long as they can stay open",
Los Angeles,DRIVEN STRENGTH CLUB,Wifi/Charging,"12311 Telegraph Rd, Santa Fe Springs, California 90670",,,,coworking at no charge,"Free All-Day Pass – Come in, settle down, and get your work done in a supportive environment.
What We Offer – Wi-Fi, power outlets, a comfortable workspace, and a welcoming community.

Simply show up and let our front desk staff know you're here to cowork. No fees, no questions, just community helping community.
",Instagram
Los Angeles,Private School Village,"Free Items, Information",,,,doantions: https://www.privateschoolvillage.org/emergencysupportresources,"giftcards
apply at: https://www.privateschoolvillage.org/emergencysupportresources",list of resources: https://www.privateschoolvillage.org/emergencysupportresources,
Burbank,West Pres Church,"Wifi/Charging, Free Items",,,,,"Power, water, snacks",Open 4-9 PM every day (updated 1/9/25) They're working on hygiene products to offer,
Los Angeles,Zaya,Free Items,"515 W 7th Street, Los Angeles, California 90014",,,,free meals for fire victims,Starting Thursday (1/9) 2-6pm. More info: 213.375.8240,Instagram
Los Angeles,Quantum Clinic,"Distribution Hub, Services","2828 Newell St Suite 6, Los Angeles, CA 90039",,,Food & clothing,"Free support groups, Fridays 10-11:30am and 2-3:30pm",,
Los Angeles,Rainbow Acres,Distribution Hub,"13208 W Washington Blvd, Los Angeles, California 90066",,,pet supplies and hygine products Thursday (1/9) 10am-4pm,,,Instagram
Los Angeles,Snail Farm,Distribution Hub,"501 S ave 17 Unit C Los Angeles, CA 90031. Entrance is on Mozart",,,"masks, water, canned foods, clothes",,,
San Diego,Al Otro Lado,Distribution Hub,"Sugar & Lash Collective,3307 Fourth Ave, San Diego, CA 92103",,,"Work gloves
🔸Large garbage/trash bags
🔸N95 masks and or respirators
🔸Easy to eat high calorie non-perishable food items. (Cliff Bars, Trail Mix, Flip top canned tuna, chicken, beans, fruit, peanut butter)
🔸Feminine Supplies
🔸Toiletries
🔸New socks/underwear
🔸Diapers/wipes
🔸Safety glasses/goggles
🔸Tarps
🔸Tents
**We are unable to accept clothing donations**",,Al Otro Lado will be collecting essential supplies for displaced folks and migrant workers who have been impacted by the devastating wildfires in L.A.,
Santa Monica,EATALY,Free Items,"10250 Santa Monica Blvd, Los Angeles, CA 90067",,,,free meals to first responders and evacuees,,
Remote,Mask Bloc LA,Free Items,,,Volunteers to distribute masks (Zoom webinar for new folks interested in joining 6:30pm 1/9/25 - register here),"Funds, high-quality masks/respirators, other types of PPE (ex. goggles)","Masks/respirators, rapid tests, other types of PPE (ex. goggles)",IG: @maskblocla ,
Gardena,Carson Animal Care Center,Animal Boarding,"216 W Victoria St, Gardena, CA",small,,,,,
Pomona,Pomona Fairplex,"Shelter, Animal Boarding","1101 W McKinley Ave, Pomona, CA 91768, USA",large,,,,,https://www.facebook.com/redcrossla/posts/pfbid02TMT1HEfDhjGPhyoaquCEUo3hVFSdAkXbQufiDuUohk38WjHuJoj3ihszN36rUQxNl
Downey,Downey Animal Care Center,Animal Boarding,"1258 Garfield Ave, Downey",small,,,,,https://lacounty.gov/emergency/
Los Angeles,Pan Pacific Recreational Center,Shelter,"7600 Beverly Blvd, Los Angeles, CA 90036, USA",,,,,,https://lafd.org/news/sunset-firee
Rosemead,Rosemead Chamber of Commerce,Free Items,"3953 Muscatel Ave, Rosemead, CA 91770",,,,N95s and KN95s,"8am-5pm Friday
10am02pm Saturday and Sunday",
Los Angeles,storiesbooksandcafe,Distribution Hub,"1716 sunset blvd., Los Angeles, California 90026",,,"water, pet supplies, nonperishables, clothes, blankets, hygine products, kids stuff","water, pet supplies, nonperishables, clothes, blankets, hygine products, kids stuff",Friday (1/10) 9am-9pm ,https://www.instagram.com/p/DEnbwlKyGh3/
Los Angeles,Snoop Dogg’s Clothing,Free Items,"905a S Prairie Ave
INGLEWOOD CA 90301",,,,clothing,Please stop by and pick up some clothing that we have available to get you and your family through these trying times free of charge.,
Irvine,Atomic Ballroom,"Distribution Hub, Wifi/Charging","17961 Sky Park Cir, Ste C, Irvine, California 92614
",,,"clothing, masks, water, pillows, towels, hygine products, batteries, sleeping bags, socks, nonperishables","coffee, tea, wifi, charging",,https://www.instagram.com/atomicballroom?igsh=NTc4MTIwNjQ2YQ%3D%3D
Culver City,Village Well Books & Coffee,"Free Items, Wifi/Charging","9900 Culver Blvd #1b, Culver City, CA 90232",,,,"free drink to first responders nad evacuees, wifi, water, bathrooms",,https://www.instagram.com/villagewellcc?igsh=NTc4MTIwNjQ2YQ%3D%3D
Los Angeles,Coop LA,Free Items,"7282 Beverly Blvd, Los Angeles, 90036",,,,get free clothes 10am-6pm on 1/10/25,,
Los Angeles,Suay,Free Items,"905 Mateo street, Los Angeles, California 90021, arts district",,,,masks and free clothing Saturday and Sunday,if you are an org or a shelter in need please contact them directly ,https://www.instagram.com/suaysewshop/
Santa Monica,"OpenClosit, Elizabeth Turner","Distribution Hub, Free Items","905 Mateo street, Los Angeles, California 90021",,,"clothing (have enough women's, need mens/kids/babies clothes), clean socks, tampons/pads, blankets, towels, N95 and P100 masks, batteries, powder banks, canned foods, non perishables, instant oatmeal, ramen cups, snacks, drinking water, eyeglasses, contact solution, first aid supplies, dog/cat food, meal replacement bars and energy drinks and coffee",listed items as well as 1 week packs of dog and cat food,"coffeeshops, anyone with access to coffee and energy drinks, please contact them. these will go straight to first responders. also they are currently not in evacuation zone but do have a plan b to move if necessary.",@ openclosit OR @ elizabethcturner on nsta
Remote,OpenClosit GoFundMe,Fundraiser,https://www.gofundme.com/f/donate-essential-supplies-for-la-evacuees?attribution_id=sl:fb2862a4-93da-4905-8b23-be419e374105&utm_campaign=man_ss_icons&utm_medium=customer&utm_source=copy_link,,,,,,@ openclosit OR @ elizabethcturner on nsta
Los Angeles,Project Angel Food,Free Items,"230 W. Ave 26, Los Angeles, CA 90031 in Lincoln Heights",,seeking immediate volunteers for both delivery and in the kitchen over the next several days. Please call (323) 845-1816 or email us at volunteers@angelfood.org to volunteer.,,,"Seeking volunteers for these times:
Friday Jan 10 8AM-12PM, 1PM-4PM
Sunday Jan 12 8AM-12PM, 1PM-4PM",@ projectangelfood
Los Angeles,Travis Garret Long ,Free Items,traveling by car,,,,clothes,he has all his clothes in his car and can drive to and drop off clothes to anyone in need,@ travisgarretlong on insta
Los Angeles,Obet & Del's,Distribution Hub,"5233 Hollywood Blvd, Los Angeles, CA 90027",,"Seeking: baby gear, clothes for kids/adults/babies, diapers, toys, unopened toiletries, outerwear to distribute to a family in Altadena",,,,
Northridge,YMCA of Metropolitan Los Angeles,Services,North Valley YMCA,,,,,YMCA centers open for child care for students TK-8th grade on Jan 9 (will update on whether they are doing more days). Contact afterschool@ymcala.org. Open to children of essential workers and children of families who have been displaced.,@ lacarehealth
Los Angeles,UCLA Gen Rep Mutual Aid,"Distribution Hub, Free Items",UCLA The Hill (in front of Saxon Suites),,,," Face masks • Food & snacks • Water, energy drinks, & coffee • Destress equipment • Personal hygiene products • Sunglasses • Fire safety & additional mutual aid resource information",1/10 from 9AM-12PM,@ genrep1
Los Angeles,YMCA of Metropolitan Los Angeles,Services,Ketchum-Downtown YMCA,,,,,YMCA centers open for child care for students TK-8th grade on Jan 9 and Jan 10 (will update on whether they are doing more days). Contact afterschool@ymcala.org. Open to children of essential workers and children of families who have been displaced.,@ lacarehealth
Culver City,YMCA of Metropolitan Los Angeles,Services,Culver Palms YMCA,,,,,YMCA centers open for child care for students TK-8th grade on Jan 9 and Jan 10 (will update on whether they are doing more days). Contact afterschool@ymcala.org. Open to children of essential workers and children of families who have been displaced.,@ lacarehealth
Los Angeles,YMCA of Metropolitan Los Angeles,Services,East Valley North Hollywood YMCA,,,,,YMCA centers open for child care for students TK-8th grade on Jan 9 and Jan 10 (will update on whether they are doing more days). Contact afterschool@ymcala.org. Open to children of essential workers and children of families who have been displaced.,@ lacarehealth
Los Angeles,YMCA of Metropolitan Los Angeles,Services,Westchester West LA YMCA,,,,,YMCA centers open for child care for students TK-8th grade on Jan 9 and Jan 10 (will update on whether they are doing more days). Contact afterschool@ymcala.org. Open to children of essential workers and children of families who have been displaced.,@ lacarehealth
Greater LA Area,YMCA of Metropolitan Los Angeles,Services,Van Nuys Mid Valley YMCA,,,,,YMCA centers open for child care for students TK-8th grade on Jan 9 and Jan 10 (will update on whether they are doing more days). Contact afterschool@ymcala.org. Open to children of essential workers and children of families who have been displaced.,@ lacarehealth
Los Angeles,YMCA of Metropolitan Los Angeles,Services,West Valley Reseda YMCA,,,,,YMCA centers open for child care for students TK-8th grade on Jan 9 and Jan 10 (will update on whether they are doing more days). Contact afterschool@ymcala.org. Open to children of essential workers and children of families who have been displaced.,@ lacarehealth
Burbank,YMCA of Metropolitan Los Angeles,Services,Burbank San Fernando Valley YMCA,,,,,YMCA centers open for child care for students TK-8th grade on Jan 9 and Jan 10 (will update on whether they are doing more days). Contact afterschool@ymcala.org. Open to children of essential workers and children of families who have been displaced.,@ lacarehealth
Los Angeles,The Outsider Boxing Gym,Services,9089 Santa Monica Blvd 90069 ,,,,,boxing gym open and welcoming folks to train together and talk about how to support the community. have been personally and is a woman friendly place! great folks and great third space during this time,@ theoutsiderboxing
San Fernando Valley,Hope the Mission,Shelter,"16641 Roscoe Pl., North Hills, CA",,,"Toiletries, bedding, water",,,
Pasadena,Pasadena City College,"Free Items, Distribution Hub","Pasadena City College Colorado Campus, 1570 E Colorado Blvd, Pasadena, 91105
Lot 3 near the corner of Del Mar Blvd & Hill Ave",,,,"Items available for distribution include pre-packaged snacks, canned foods, bottled water, hygiene kits, baby supplies, pet food, and clothing.","Community Relief Support will be taking place Friday, January, 10th, from 9 a.m. to 8 p.m. ",@ pcclancer
Remote,Inclusivaction Emergency Cash Assistance,"Free Items, Services",,,,,"emergency fund - providing direct cash assistance to street vendors, landscape workers, recyclers, and other outdoor workers who live and work in fire areas. apply for 500 dollars by jan 17 at inclusiveaction.org/workeraid",,@ inclusivaction
Los Angeles,Snatched Beauties ,"Distribution Hub, Free Items, Fundraiser",5710 MANCHESTER AVE STE. 211 90045 (WE SHARE THE SAME PARKING LOT AS DENNYS),,,"All Cash Donations will help with: Prescriptions, Room Fare, Clothing, Gas and etc.
MOST NEEDED ITEMS: Blankets & Water © Canned Goods • Baby Items, Food, Clothes, Etc. 
ACCEPTING CASH DONATIONS AND PREPAID CARDS Cashapp: SNATCHEDBEAUTIES and Zelle: SNATCHEDBEAUTIES@ICLOUD.COM",,Drop hours: 9am-8pm everday until further notice ,@ snatched_beauties
Los Angeles,Obets & Dels,"Free Items, Distribution Hub",5233 Hollywood Blvd.,,,"Baby Gear Clothes for Baby, Kids & Adults Diapers Adult Clothes Toys Unopened Toiletries Outerwear ",,Drop between 6:30am-2pm ,@ obetanddels
Pasadena,Foothill Unity Center,"Free Items, Distribution Hub, Fundraiser","Please drop-off donations at 191 N. Oak., Ave, Pasadena 91107",,,Water Flashlights/Batteries Face masks New pillows Blankets Dry Pet Food  and Monetary donations to link in their bio,"We will have food, water, clothing, masks and other essentials available for those in need.",Text HOPE to 41444,@ foothillunitycenter
Los Angeles,Leona Valley Ranch,Animal boarding,"email for address, in Leona Valley",yes! horses boarding,,,,5 acre ranch. I have 2 horse pastures that need some work but the fencing is solid. I'm sure I can rally help to do any repairs if anyone needs a place for horses. It's about 1.5 acres of land. Not being used for anything yet. Please feel free to add me to any list. Buko Pan Guerra. My email is bukopanguerra@gmail.com.,
